Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1457677635,07027R5,TX,PAS,07/03/2021,40,SUBN,LEXUS,P,46820,65320,15920,20210524,0041,41,41,953198,0041,0000,0600A,1140P,BX,F,1035,LONGWOOD AVE,,20210702,408,J2,,BBBBBBB,ALL,ALL,WHT,0,2017,-,0,,,,,
1457732816,T649424C,NY,PAS,07/08/2021,20,SDN,TOYOT,P,27180,52120,21820,20210531,0046,46,46,965173,0046,0000,0850A,0850A,BX,F,120,E 184 ST,,20210708,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2001,-,0,,,,,
1457732830,T671970C,NY,OMT,07/08/2021,21,SDN,TOYOT,P,52720,40404,40404,20220430,0046,46,46,965173,0046,0000,0831A,0831A,BX,F,,MOUNT HOPE PL,,0,408,D,,BBBBBBB,ALL,ALL,BLACK,0,2015,-,0,,,,,
1457733353,914991C,99,PAS,07/06/2021,24,SDN,DODGE,P,0,0,0,0,0046,46,46,962480,0046,0000,0200P,,R,F,,C/O E 179 ST,WALTON,0,408,C,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1457733365,HGR2844,NY,PAS,07/06/2021,40,SDN,HONDA,P,72720,26910,39320,20220524,0046,46,46,962980,0046,0000,0200P,,,F,1750,WALTON AV,,0,408,D5,,BBBBBBB,ALL,ALL,GR,0,0,-,1,,,,,
1457734000,KPF6862,NY,PAS,07/02/2021,14,SUBN,JEEP,P,76850,36320,44125,20210730,0046,46,46,968190,0046,0000,1046A,,BX,O,31,W TREMONT AVE,,0,408,F2,,BBBBBBB,ALL,ALL,GRY,0,0,-,0,,,,,
1457734011,FGE8882,NY,PAS,07/02/2021,14,SDN,ACURA,P,76850,36320,44125,20220711,0046,46,46,968190,0046,0000,1058A,,BX,O,25,W TREMONT AVE,,0,408,C,,BBBBBBB,ALL,ALL,GRY,0,0,-,0,,,,,
1457734242,KJW2815,NY,PAS,07/04/2021,98,SUBN,HONDA,P,59020,74480,56740,20230314,,0,46,960934,0046,0000,0440P,,BX,F,1750,POPHAM,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0,2010,-,0,,,,,
1457736044,KLE9108,NY,PAS,07/02/2021,98,SUBN,HONDA,P,38420,52420,44125,20230401,0046,46,46,956841,0046,0000,1121P,,BX,F,1845,HARRISON AVE,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2007,-,0,,,,,
1457736070,14400E9,NJ,PAS,06/25/2021,67,SUBN,BMW,P,8820,74450,67850,20210719,0046,46,46,956841,0046,0000,1005P,,BX,F,1646,ANDREWS AVE S,,0,408,E5,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1457742858,079790T,NJ,PAS,06/27/2021,40,SDN,,P,0,0,0,20210711,0082,82,82,964815,0082,0000,0821A,,,O,3210,PERRY AVE,,0,408,F7,,BBBBBBB,ALL,ALL,BLAC,0,2006,-,0,,,,,
1457751460,T681824C,NY,PAS,06/23/2021,98,SDN,HONDA,P,57120,16420,78350,20210930,0045,45,45,965192,0045,0000,0838P,,BX,F,1810,PARKVIEW AVE,,0,408,F2,,BBBBBBB,ALL,ALL,BLU,0,2016,-,0,,,,,
1457786084,KGJ7243,NY,PAS,06/30/2021,20,SDN,ME/BE,P,72720,27180,29220,20221108,0046,46,46,951512,0046,0000,0850A,,BX,F,2430,WALTON AVE,,0,408,C,,BBBBBBB,ALL,ALL,WHT,0,2017,-,0,,,,,
1457786096,22923MN,NY,COM,07/01/2021,98,VAN,FORD,P,27120,52120,21820,20210831,0046,46,46,952067,0046,0000,0915A,,BX,F,110,E 182 ST,,0,408,F2,,BBBBBBB,ALL,ALL,WH,0,2014,-,0,,,,,
1457800767,980249N,NJ,PAS,06/23/2021,74,SUBN,HONDA,P,20720,26550,26580,0,0044,44,44,967876,0044,0000,1044A,,BX,F,946,COLLEGE AVE,,0,408,E2,,BBBBBBB,ALL,ALL,WHT,0,1999,-,0,,,,,
1457800779,980249N,NJ,PAS,06/23/2021,70,SUBN,HONDA,P,20720,26550,26580,0,0044,44,44,967876,0044,0000,1049A,,BX,F,946,COLLEGE AVE,,0,408,J2,,BBBBBBB,ALL,ALL,WHT,0,1999,-,0,,,,,
1457944558,EVK5593,NY,PAS,06/18/2021,40,SUBN,HYUND,P,67530,14280,14330,20210930,0070,70,70,949361,0070,0000,0701A,,K,F,1903,OCEAN AVE,,0,408,K6,,BBBBBBB,ALL,ALL,GREY,0,2003,-,0,,,,,
1457945095,99947NA,NY,COM,07/10/2021,19,DELV,GMC,P,21230,21090,33490,0,0001,1,1,957010,0001,0000,0310P,,NY,F,26,FULTON ST,,0,408,D1,,BBBBBBB,ALL,ALL,WHITE,0,1984,-,0,,,,,
1458019159,HGM4521,NY,PAS,07/22/2021,14,SUBN,HONDA,P,17470,40404,40404,20220417,0060,60,60,957032,0060,0000,0700P,1900P,K,O,2730,BAYVIEW AVE,,0,408,C3,,BBBBBBB,ALL,ALL,BL,0,2019,-,0,,,,,
1458019214,D1MKA,PA,PAS,07/23/2021,98,SUBN,ACURA,P,91230,47625,64230,20210831,0060,60,60,957032,0060,0000,0708P,1905P,K,F,2763,W 16TH,,20210723,408,C,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1459490939,KDF4338,NY,PAS,06/29/2021,98,SUBN,JEEP,P,10420,7720,45840,20220706,0047,47,47,965384,0047,0000,0120A,,BX,O,3009,BARKER AVE,,0,408,C,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1459496322,T796369C,NY,PAS,06/24/2021,98,SUBN,HONDA,P,0,0,0,20210930,0040,40,40,954803,0040,0000,0927A,,BX,,,N/B CRIMMINS AVE,ST MARYS,0,408,F2,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1459551310,KED4626,NY,PAS,07/10/2021,98,SUBN,HONDA,P,24090,10140,10290,20220730,109,109,109,964878,0109,0000,0550A,,Q,F,45-45,161 ST,,0,408,C,,BBBBBBB,ALL,ALL,GRAY,0,2010,-,0,,,,,
1459553858,A57LGV,NJ,PAS,07/05/2021,98,AM,TOYOT,P,61390,45790,54580,0,109,109,109,967903,0109,0000,1225P,,Q,F,133-14,SANFORD AVENUE,,0,408,F2,,BBBBBBB,ALL,ALL,SILVE,0,2019,-,0,,,,,
1459554190,5DK3069,ME,PAS,07/09/2021,24,SDN,TOYOT,P,8790,22590,65490,0,109,109,109,948038,0109,0000,0749P,,Q,O,136-59,37 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2009,-,0,,,,,
1459554206,R93SEC,NY,PAS,07/19/2021,24,SUBN,SUBAR,P,8790,22590,65490,20230217,109,109,109,948038,0109,0000,0759P,,Q,O,136-87,37 AVE,,0,408,D,,BBBBBBB,ALL,ALL,GY,0,2020,-,0,,,,,
1459585574,EBB8076,NY,PAS,07/12/2021,98,SDN,,P,23240,6145,6180,20210705,109,109,109,959549,0109,0000,0450P,,Q,F,15-40,150 PLACE,,0,408,F2,,BBBBBBB,ALL,ALL,GRY,0,2008,-,0,,,,,
1459585586,KKD5288,NY,PAS,07/12/2021,98,SUBN,FORD,P,29290,36590,58590,20230404,109,109,109,959549,0109,0000,0537P,,Q,F,143-37,BARCLAY AVE,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2017,-,0,,,,,
1459585598,88411NA,NY,COM,07/12/2021,78,VAN,FORD,P,10140,24140,24190,20230331,109,109,109,959549,0109,0000,0905P,,Q,F,162-20,45 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,WHT,0,2001,-,0,,,,,
1459585604,Y58MKP,99,PAS,07/12/2021,40,SDN,ME/BE,P,39490,43360,10140,20250430,109,109,109,959549,0109,0000,0939P,,Q,F,44-15,COLDEN ST,,0,408,K6,,BBBBBBB,ALL,ALL,GRY,0,2019,-,0,,,,,
1459585616,KPK4195,NY,PAS,07/12/2021,98,SDN,NISSA,P,23090,29290,61390,20230608,109,109,109,959549,0109,0000,0950P,,Q,F,41-33,147 ST,,0,408,E2,,BBBBBBB,ALL,ALL,GRY,0,2011,-,0,,,,,
1459585896,JEP5207,NY,PAS,07/06/2021,98,VAN,NISSA,P,7340,58590,23040,20221125,109,109,109,957414,0109,0000,0155P,,Q,F,144-41,26 AVE,,0,408,D5,,BBBBBBB,ALL,ALL,WHITE,0,2017,-,0,,,,,
1459587091,JJM8395,NY,PAS,07/06/2021,98,SUBN,FORD,P,7440,41700,39595,20210725,109,109,109,961543,0109,0000,0855A,,Q,F,119-47,27 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,GY,0,2019,-,0,,,,,
1459587406,4154DB,CT,PAS,06/23/2021,98,VAN,TOYOT,P,5490,21640,21690,0,109,109,109,932650,0109,0000,0232A,,Q,F,125-08,9 AVE,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1459587418,T79395C,NY,OMT,06/30/2021,51,SDN,TOYOT,P,5940,21240,21340,20220228,109,109,109,932650,0109,0000,0103A,,Q,F,119-19,14 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,GRAY,0,2020,-,0,,,,,
1459587420,KPJ1337,NY,PAS,07/16/2021,40,SDN,HONDA,P,20940,5940,6040,20230509,109,109,109,932650,0109,0000,0619A,,Q,F,14-02,116 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLUE,0,2019,-,0,,,,,
1459587613,KKS8812,NY,999,07/13/2021,40,P-U,FORD,P,8440,53990,22490,20230528,109,109,109,925357,0109,0000,1129A,,Q,F,136-21,LATIMER PL,,0,408,F2,,BBBBBBB,ALL,ALL,RD,0,2021,-,0,,,,,
1459587625,JFE3602,NY,PAS,07/15/2021,40,SDN,NISSA,P,23740,56390,48950,20210305,109,109,109,925357,0109,0000,1005A,,Q,F,45-19,156 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BK,0,2013,-,6,,,,,
1459587637,JFE3602,NY,PAS,07/15/2021,70,SDN,NISSA,P,23740,56390,48950,20210305,109,109,109,925357,0109,0000,1005A,,Q,F,45-19,156 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BK,0,2013,-,0,,,,,
1459587649,AY32708,CT,PAS,07/15/2021,98,SDN,VOLKS,P,21690,6940,7240,0,109,109,109,925357,0109,0000,1110A,,Q,F,23-19,126 ST,,0,408,J3,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1459587650,LNP3380,PA,PAS,07/15/2021,40,SDN,INFIN,P,65490,52490,56750,0,109,109,109,925357,0109,0000,0114P,,Q,F,47-19,UNION ST,,0,408,F2,,BBBBBBB,ALL,ALL,WH,0,0,-,6,,,,,
1459587662,KPJ1337,NY,PAS,07/16/2021,40,SDN,HONDA,P,20940,5940,6040,20230509,109,109,109,925357,0109,0000,0844A,,Q,F,14-02,116 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BL,0,2014,-,0,,,,,
1459587674,T702081C,NY,OMT,07/21/2021,14,SUBN,FORD,P,61090,59590,54580,20220228,109,109,109,925357,0109,0000,0216P,,Q,F,135-45,ROOSEVELT AVE,,0,408,F2,,BBBBBBB,ALL,ALL,GN,0,2012,-,0,,,,,
1459587686,LDR5993,PA,PAS,07/21/2021,46,SUBN,ME/BE,P,61090,59590,54580,0,109,109,109,925357,0109,0000,0221P,,Q,F,135-27,ROOSEVELT AVE,,0,408,C,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1459588125,KJD3262,NY,PAS,07/20/2021,40,SUBN,JEEP,P,35590,23180,56390,20230223,109,109,109,961893,0109,0000,0417A,,Q,F,149-49,BEECH AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BLUE,0,2003,-,0,,,,,
1459588150,KMB2527,NY,PAS,07/17/2021,98,SUBN,CHEVR,P,21790,5490,5670,20230527,109,109,109,961893,0109,0000,0647A,,Q,F,9-27,128 ST,,0,408,D5,,BBBBBBB,ALL,ALL,WHT,0,2020,-,0,,,,,
1459588162,GYC1628,NY,PAS,07/13/2021,98,SUBN,HONDA,P,38990,23190,56390,20230519,109,109,109,961893,0109,0000,0322A,,Q,F,149-62,CHERRY AVE,,0,408,E2,,BBBBBBB,ALL,ALL,WHT,0,2015,-,0,,,,,
1459588174,KMC5405,NY,PAS,07/13/2021,70,VAN,TOYOT,P,59290,39595,61470,20230526,109,109,109,961893,0109,0000,0310A,,Q,F,132-59,POPLE AVE,,0,408,F2,,BBBBBBB,ALL,ALL,GRY,0,2021,-,0,,,,,
1459588198,JCF8928,NY,PAS,07/13/2021,67,SDN,NISSA,P,5940,21240,21340,20221126,109,109,109,961893,0109,0000,0244A,,Q,F,119-21,14 AVE,,0,408,J3,,BBBBBBB,ALL,ALL,WHT,0,2010,-,0,,,,,
1459589099,HVY4820,NY,PAS,07/06/2021,40,SDN,SUBAR,P,59390,24340,65170,20211112,109,109,109,969744,0109,0000,1055P,,,F,166-40,POWELLS COVE BLVD,,0,408,F2,,BBBBBBB,ALL,ALL,BLUE,0,2018,-,0,,,,,
1459589105,EBB8076,NY,PAS,07/14/2021,98,SDN,TOYOT,P,23240,6145,6180,20210705,109,109,109,969744,0109,0000,0737P,,Q,F,15-40,150 PLACE,,0,408,F1,,BBBBBBB,ALL,ALL,GREY,0,2008,-,0,,,,,
1459589117,BLANKPLATE,99,999,07/14/2021,40,SDN,NISSA,P,28590,23180,56390,0,109,109,109,969744,0109,0000,0818P,,Q,F,149-37,ASH AVENUE,,0,408,F2,,BBBBBBB,ALL,ALL,GREY,0,0,-,0,,,,,
1459589129,LLA2692,PA,PAS,07/20/2021,98,SUBN,TOYOT,P,24040,61390,9840,20210930,109,109,109,969744,0109,0000,0416P,,Q,F,42-44,160 ST,,0,408,E2,,BBBBBBB,ALL,ALL,GREY,0,0,-,0,,,,,
1459589130,QLG460,NY,PAS,07/20/2021,70,SUBN,JEEP,P,5740,35780,41700,0,109,109,109,969744,0109,0000,0620P,,Q,F,167-15,12 AVENUE,,0,408,F2,,BBBBBBB,ALL,ALL,GREEN,0,1995,-,0,,,,,
1459589142,KGF8238,NY,PAS,07/21/2021,40,SUBN,ME/BE,P,28590,52390,36590,20221014,109,109,109,969744,0109,0000,0820P,,Q,F,140-37,ASH,,0,408,J3,,BBBBBBB,ALL,ALL,RED,0,2017,-,0,,,,,
1459589210,S12CAX,NJ,PAS,07/05/2021,98,SDN,ACURA,P,65490,8440,8440,20230520,109,109,109,969744,0109,0000,0508P,,,,34-02,UNION ST,,0,408,C4,,BBBBBBB,ALL,ALL,B,0,0,-,0,,,,,
1459589233,DWT2356,NY,PAS,07/05/2021,98,SDN,TOYOT,P,22810,5840,5940,20221220,109,109,109,959640,0109,0000,0805P,,Q,F,13-03,142ND STREET,,0,408,F2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1459589257,86254MW,NY,COM,07/05/2021,78,VAN,CHEVR,P,24740,10140,10290,0,109,109,109,959640,0109,0000,0935P,,Q,F,45-54,172 STREET,,0,408,F2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1459589270,91553MN,NY,PAS,07/05/2021,78,VAN,FORD,P,26390,35780,6940,20220630,109,109,109,969744,0109,0000,1025P,,Q,F,18-65,211 STREET,,0,408,E2,,BBBBBBB,ALL,ALL,WH,0,2020,-,0,,,,,
1459589348,35283MM,NY,COM,07/16/2021,78,DELV,FORD,P,25960,6290,0,20220228,109,109,109,964631,0109,0000,0445A,,Q,F,,202 ST,19 AVE,0,408,E2,,BBBBBBB,0900P,0500A,WHITE,0,2016,-,0,,,,,
1459589841,U6553P,WI,PAS,06/22/2021,78,VAN,NISSA,P,7140,24340,24540,20210905,109,109,109,945085,0109,0000,0145A,,,F,166-60,24 RD,,0,408,F2,,BBBBBBB,0900P,0500A,WT,0,2021,-,0,,,,,
1459589865,89004MN,NY,COM,06/24/2021,78,VAN,NISSA,P,6290,23290,56390,20220131,109,109,109,945085,0109,0000,0327A,,Q,F,150-42,19 AVE,,0,408,E2,,BBBBBBB,0900P,0500A,WT,0,2016,-,0,,,,,
1459590272,1EE9735,ME,PAS,06/23/2021,21,SDN,HONDA,P,8790,65490,36590,20210918,109,109,109,957260,0109,0000,1035P,,Q,,142-38,37 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,BL,0,2007,-,0,,,,,
1459590429,T25395C,NY,OMT,06/23/2021,61,SUBN,INFIN,P,0,40404,40404,20211130,109,109,109,941606,0109,0000,0640P,,Q,O,13-11,COLLEGE POINT AVE,,0,408,D1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1459590430,TN01926,OR,PAS,06/25/2021,20,SDN,CHEVR,P,8790,65490,36590,0,109,109,109,941606,0109,0000,1124A,,Q,O,142-38,37 AVENUE,,0,408,F2,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,
1459590442,TN01926,OR,PAS,06/28/2021,20,SDN,CHEVR,P,8790,65490,36590,0,109,109,109,941606,0109,0000,0230P,,Q,O,142-38,37 AVENUE,,0,408,M1,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,
1459590478,FP134990,IL,PAS,07/01/2021,20,SUBN,HYUN,P,8790,65490,36590,0,109,109,109,957260,0109,0000,0450P,,Q,O,142-38,37 AVE,,0,408,D,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1459632448,CWE6431,NY,PAS,06/30/2021,19,SUBN,SUBAR,P,50290,51790,12470,20220604,110,110,169,945445,0169,0000,0917A,,Q,F,97-07,HORACE HARDING EXPY,,0,408,D,,BBBBBBB,ALL,ALL,GREY,0,2019,-,0,,,,,
1459632450,CWE6431,NY,PAS,06/30/2021,33,SUBN,SUBAR,P,50290,51790,12470,20220604,110,110,169,945445,0169,0000,0917A,,Q,F,97-07,HORACE HARDING EXPY,,0,408,C3,,BBBBBBB,ALL,ALL,GREY,0,2019,-,0,,,,,
1459651170,6154A8,MA,PAS,07/17/2021,98,SDN,CHEVR,P,14140,36390,59990,20210831,112,112,112,940373,0112,0000,1057P,,Q,F,100-26,67 ROAD,,0,408,F2,,BBBBBBB,ALL,ALL,RED,0,2014,-,0,,,,,
1459653180,ENS2127,NY,PAS,07/04/2021,98,SDN,FORD,P,8790,20090,20190,20230112,115,115,115,967151,0115,0000,0442A,,Q,F,107-16,37 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,RED,0,2014,-,0,,,,,
1459653208,T806259C,NY,PAS,07/07/2021,98,SDN,NISSA,P,20190,61090,9540,20220228,110,110,115,967151,0115,0000,0107A,,,F,40-17,108 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2018,-,0,,,,,
1459654377,UCM9113,NY,PAS,06/22/2021,98,SDN,CADIL,P,14740,65030,55690,20220715,112,112,112,967393,0112,0000,0845P,,Q,F,89-48,70 AVE,,0,408,E5,,BBBBBBB,ALL,ALL,WHITE,0,2013,-,0,,,,,
1459689161,19701P7,TX,PAS,07/13/2021,40,,ME/BE,P,0,0,0,20210401,104,104,104,964993,0104,0000,0452P,0447P,,O,73-43,GRAND ST,,20210713,408,F2,,BBBBBBB,ALL,ALL,GRY,0,2016,-,0,,,,,
1459704393,T748354C,NY,OMT,06/30/2021,98,SDN,TOYOT,P,19040,7240,28790,20210731,115,115,115,966233,0115,0000,0550A,,Q,F,25-18,97 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLACK,0,2017,-,0,,,,,
1459947861,TVW806,SC,PAS,06/26/2021,46,SDN,BMW,P,82230,19830,34330,0,0073,73,802,962932,0802,0000,1110P,,K,F,565,STONE AVE,,0,408,F2,,BBBBBBB,ALL,ALL,BLU,0,0,-,0,,,,,
1459968967,EHF3629,NY,PAS,07/14/2021,27,SDN,TOYOT,P,24240,16840,47390,20220305,107,107,976,101607,0976,0000,1002A,,Q,,82-70,164TH ST,,0,408,F7,,BBBBBBB,ALL,ALL,BLUE,0,2012,-,0,,,,,
1460103336,ZHRA43,MA,PAS,06/20/2021,98,SUBN,AUDI,P,57190,21970,22130,20230331,113,113,113,966487,0113,0000,0630P,,Q,F,133-36,GUY R BREWER BLVD,,0,408,K4,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1460105345,W343136,NJ,PAS,06/27/2021,40,SDN,NISSA,P,23050,10165,26990,20210627,105,105,105,956246,0105,0000,1248A,,Q,O,222-12,147 AVENUE,,0,408,5,,BBBBBBB,ALL,ALL,GY,0,2005,-,0,,,,,
1460105357,63336NB,NY,COM,06/16/2021,78,VAN,MACK,P,22970,50180,0,20220630,105,105,105,956246,0105,0000,0133A,,,,,145 AVE,HOOK CREEK BLVD,0,408,J3,,BBBBBBB,ALL,ALL,WH,0,2002,-,0,,,,,
1460138120,LMY2239,PA,PAS,07/06/2021,21,SDN,FORD,P,33140,60790,42170,0,100,100,100,962174,0100,0000,1235P,,Q,F,214,BEACH 92 STREET,,0,408,F2,,BYBBBBB,1130P,0100P,BLK,0,0,-,0,,,,,
1460138132,GTS6460,NY,PAS,07/06/2021,21,SDN,FORD,P,33140,60790,42170,20221023,100,100,100,962174,0100,0000,1235P,,Q,F,214,BEACH 92 ST,,0,408,D1,,BYBBBBB,1130A,0100P,RED,0,2007,-,0,,,,,
1460138144,KHG6002,NY,PAS,07/06/2021,21,SUBN,CHEVR,P,33140,60790,42170,20221219,100,100,100,962174,0100,0000,1232P,,Q,O,215,BEACH 92 STREET,,0,408,D1,,BYBBBBB,1130A,0100P,WHITE,0,2021,-,0,,,,,
1460138156,KEH1525,MA,PAS,07/06/2021,21,SDN,HONDA,P,33140,60790,42170,20220809,100,100,100,962178,0100,0000,1228A,,BX,F,215,BEACH 92 STREET,,0,408,D1,,BYBBBBY,1130A,0100P,GRAY,0,2019,-,0,,,,,
1460143164,AU562D,NJ,PAS,06/18/2021,78,,KENWO,P,49690,40485,27130,0,105,105,105,960626,0105,0000,0230A,,Q,F,238-15,HILLSIDE AVE,,0,408,E2,,BBBBBBB,ALL,ALL,RED,0,0,-,0,,,,,
1460156870,11933D9,TX,PAS,06/22/2021,98,SDN,KIA,P,26940,22820,22835,20210629,105,105,105,936289,0105,0000,0848A,,Q,F,143-15,222 ST,,0,408,F1,,BBBBBBB,ALL,ALL,GRN,0,2004,-,0,,,,,
1460217482,HXS3669,NY,PAS,06/28/2021,68,SUBN,TOYOT,X,35150,0,0,20220422,100,100,835,82,0835,0000,0610P,,Q,O,,B 169TH STREET,ADAPTED AQUATICS PAR,0,408,C4,,BBBBBBB,ALL,ALL,GLD,0,2002,-,0,,,,,
1460694417,11601T,NJ,PAS,07/12/2021,98,SDN,NISSA,X,34220,26730,26760,20211026,0042,42,3,0,0003,0000,1010A,,,O,1302,FULTON,,0,408,C,,BBBBBBB,ALL,ALL,BLACK,0,2019,-,0,,,,,
1460740890,IV18MP,FL,PAS,07/17/2021,98,VAN,CHEVR,P,22080,22035,22060,20230731,0060,60,60,928216,0060,0000,0100P,,K,F,2925,BRIGHTON 7 ST,,0,408,E2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
